obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
31,1800.4,0.003557712,38.49366163,762.837,479.647378,48.1784682,76.6236194,0.240912375,2.400502668,0.228241112,0.143733595,237.7271203,28.54031203,28.0859,3.813884567,60.61210589,1.518079867,1500.01,1264.50717,762.837,799.922,22.8562,19.7276,1000.05,27.9677,28.0859,800
32,1860.4,0.002671944,38.13358487,763.766,391.7286617,39.34726925,76.71663932,0.176585209,2.40355709,0.169681439,0.106648686,237.7283782,28.86431416,28.1915,3.837411361,60.65933735,1.533338775,1500.01,1264.509825,763.766,799.92,22.9386,20.5892,1000.08,28.016,28.1915,800
33,1920.4,0.001953365,36.92557377,765.267,277.0555403,27.82920281,76.8682356,0.127481648,2.404244595,0.123841967,0.077719585,237.7259478,29.14897762,28.3366,3.869944876,61.24387454,1.535412243,1500,1264.500086,765.267,799.846,23.2416,21.5244,999.982,28.0768,28.3366,800
34,1980.4,0.001594113,35.792863,766.54,203.8239025,20.47339762,76.99626011,0.106152239,2.40280825,0.103614078,0.064981788,237.7256137,29.33641186,28.4891,3.904396637,62.88539994,1.496824612,1500,1264.499735,766.54,799.853,23.9687,22.5684,1000.01,28.1516,28.4891,800
35,2040.4,0.001628983,35.7644002,766.695,207.898984,20.88302821,77.01294639,0.106893286,2.397665559,0.10431465,0.065423156,237.7256033,29.40286396,28.6006,3.929754964,62.69139031,1.519094399,1500,1264.499303,766.695,800.007,23.9991,22.5682,1000,28.2267,28.6006,800
36,2100.4,0.001564067,36.36455099,766.164,176.5636209,17.73574262,76.96085661,0.1027288,2.401416978,0.100348392,0.062927021,237.7260626,29.48958402,28.6787,3.947602598,62.98741278,1.515929065,1500,1264.500347,766.164,799.971,24.2079,22.8343,999.988,28.2949,28.6787,800
37,2160.4,0.001588017,36.8061371,765.722,182.7809996,18.36090158,76.91907972,0.105237023,2.398601947,0.102737622,0.064430631,237.727303,29.51905696,28.7038,3.953353512,63.33408965,1.503214191,1500.01,1264.507993,765.722,799.943,24.3909,22.9965,999.968,28.3306,28.7038,800
38,2220.4,0.001618164,37.64827725,765.034,178.5460375,17.93492786,76.84757273,0.107010055,2.399991534,0.104428295,0.065494457,237.7240863,29.52766819,28.7087,3.954477053,63.19870224,1.506915301,1499.99,1264.491435,765.034,800.035,24.366,22.945,999.903,28.3493,28.7087,800
39,2280.4,0.001747034,38.43094136,764.27,221.4210525,22.24163712,76.77055006,0.118525933,2.399416279,0.1153667,0.072381018,237.7278041,29.3987742,28.555,3.919366897,63.49727717,1.472939073,1500.01,1264.50852,764.27,800.061,24.3548,22.8207,999.959,28.2603,28.555,800
40,2340.4,0.001723117,37.75223351,764.81,222.3964019,22.34013467,76.82659546,0.116493722,2.400323305,0.113441512,0.071168513,237.7291697,29.22782984,28.3102,3.864007773,62.56586415,1.478346153,1500.02,1264.51686,764.81,799.976,23.7493,22.2352,999.917,28.0821,28.3102,800
41,2400.4,0.001666087,37.31564709,765.285,206.9059849,20.78245565,76.86825287,0.111657624,2.402212203,0.108852431,0.068278935,237.7263289,29.10781889,28.1603,3.830447121,61.86825708,1.490163213,1500,1264.500135,765.285,800.018,23.2994,21.8348,999.96,27.945,28.1603,800
42,2460.4,0.001698364,37.63035403,764.913,209.9719563,21.09221004,76.83743078,0.113361264,2.407786914,0.110477518,0.069301432,237.7274126,28.98980238,28.0556,3.807157257,61.44308759,1.497231699,1500.01,1264.508038,764.913,799.95,22.9952,21.5018,999.986,27.8394,28.0556,800
43,2520.4,0.001704926,37.67114023,764.858,211.2715364,21.22188104,76.82873785,0.113789024,2.400181223,0.110874822,0.069552377,237.7274282,28.92236026,27.9836,3.791213084,61.24895423,1.497816125,1500.01,1264.508687,764.858,799.938,22.8316,21.3321,999.933,27.7706,27.9836,800
44,2580.5,0.001698131,37.73593926,764.862,208.5916328,20.95317073,76.83090571,0.113404713,2.401169153,0.110511052,0.069323241,237.7262192,28.90855458,27.9949,3.793711573,61.39981019,1.496746122,1500,1264.50009,764.862,799.994,22.8666,21.3732,999.98,27.7551,27.9949,800
45,2640.5,0.001699352,37.75712198,764.801,204.1242217,20.50429603,76.82432775,0.112543548,2.404611138,0.109697041,0.068810402,237.7258956,28.94142412,28.0652,3.809287561,61.36966366,1.508779645,1500,1264.500171,764.801,799.95,22.902,21.4077,1000.06,27.7899,28.0652,800
46,2700.5,0.001679057,38.15626698,764.407,188.1011571,18.89460567,76.78405099,0.110513077,2.4054512,0.107767938,0.067595922,237.7244152,29.03778732,28.1827,3.83544597,61.51998493,1.517089103,1499.99,1264.49157,764.407,799.901,23.0799,21.6037,1000.05,27.8804,28.1827,800
47,2760.5,0.001682193,38.42899028,764.154,188.1121968,18.89505395,76.75595364,0.111361224,2.403862652,0.108572568,0.068102588,237.7244256,29.16928383,28.3577,3.87469578,62.32343852,1.507924804,1499.99,1264.492002,764.154,799.897,23.5627,22.0844,1000,28.0123,28.3577,800
48,2820.5,0.001746334,38.85259796,763.779,197.1575956,19.80193301,76.71173176,0.11462219,2.399138616,0.111664504,0.070049694,237.7262192,29.2963998,28.5349,3.914795557,62.49311332,1.521420139,1500,1264.50009,763.779,799.948,23.8296,22.2953,999.966,28.1575,28.5349,800
49,2880.5,0.001828135,39.08861611,763.526,228.1953865,22.91982436,76.68814906,0.122435189,2.398212662,0.11906567,0.074711057,237.7243003,29.32196916,28.5501,3.918252062,63.12665922,1.493452349,1499.99,1264.491309,763.526,799.962,24.1419,22.5363,1000,28.2083,28.5501,800
50,2940.5,0.001765198,38.30214063,764.317,223.7221957,22.47001167,76.76579366,0.118669496,2.396937671,0.115499534,0.072464964,237.7256659,29.26737677,28.4227,3.88936326,62.81804571,1.486917537,1500,1264.499649,764.317,800.006,23.9199,22.3691,999.921,28.1334,28.4227,800
51,3000.5,0.001720765,37.77592427,764.813,217.4152434,21.83632825,76.81479671,0.115462093,2.402655736,0.112465783,0.070553845,237.7261096,29.17727027,28.3032,3.862434874,62.42790941,1.489000446,1500,1264.500045,764.813,799.996,23.6313,22.1192,999.994,28.0318,28.3032,800
52,3060.5,0.001672387,37.73812449,764.909,201.4629038,20.23589222,76.83109787,0.11188038,2.401077701,0.109062841,0.068411511,237.7274804,29.12274716,28.2302,3.846065042,62.15447642,1.492704675,1500.01,1264.508601,764.909,800.025,23.4294,21.9595,999.989,27.9614,28.2302,800
53,3120.5,0.001657413,37.89594817,764.715,194.2934564,19.51530418,76.80982215,0.110901292,2.405344351,0.108136973,0.067828232,237.7241959,29.10991933,28.2206,3.843916806,62.17295561,1.49199737,1499.99,1264.49148,764.715,799.961,23.4156,21.9589,1000.03,27.9458,28.2206,800
54,3180.5,0.001682291,38.0029619,764.664,198.7138447,19.95904311,76.80371623,0.112159826,2.4044738,0.109332276,0.06858078,237.7258278,29.0853736,28.2025,3.839869334,61.97143544,1.497923682,1500,1264.499609,764.664,800.023,23.3166,21.8379,1000.04,27.9286,28.2025,800
55,3240.5,0.001674557,38.01882977,764.634,193.1686634,19.40188798,76.79994754,0.111081075,2.399008287,0.10830078,0.06793199,237.7244778,29.10798037,28.2316,3.846378414,61.88740723,1.505178968,1499.99,1264.491916,764.634,800.004,23.3094,21.8374,999.981,27.9464,28.2316,800
56,3300.5,0.00167055,38.37040533,764.261,182.3252162,18.31303954,76.76361065,0.110018528,2.396441086,0.107287621,0.067294478,237.7245248,29.1704172,28.3052,3.862884217,61.83110095,1.515603804,1499.99,1264.491615,764.261,799.942,23.3696,21.9013,1000.04,28.0065,28.3052,800
57,3360.5,0.001732872,38.49863479,764.177,203.5455732,20.44322503,76.75058773,0.11481937,2.39634977,0.111848283,0.070165714,237.7245248,29.21349845,28.3711,3.877715583,62.20378543,1.507656004,1499.99,1264.491615,764.177,800.018,23.5978,22.075,999.988,28.0691,28.3711,800
