obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
79,4680.9,0.005226642,13.07920426,87.7979,25.11522237,2.522087031,8.81672245,0.365957225,2.405207009,0.337600933,0.213364888,237.7245248,28.06422064,28.0149,3.798137198,60.31444576,1.507552145,1499.99,1264.491615,87.7979,99.9825,22.8099,18.2131,999.974,28.0131,28.0149,100
80,4740.9,0.005285907,13.20529762,87.6955,25.81470761,2.592312086,8.806379216,0.37496158,2.403756203,0.345236963,0.218247041,237.7273082,28.034278,27.9699,3.788185868,60.53043774,1.490938535,1500.01,1264.508209,87.6955,99.9975,22.8764,18.2279,999.997,28.0016,27.9699,100
81,4800.9,0.005394836,13.23048254,87.6776,27.43442754,2.754914898,8.804423791,0.387027236,2.403236844,0.355438894,0.224772157,237.7261096,27.87598248,27.7716,3.744604159,60.14354953,1.478527658,1500,1264.500045,87.6776,100.01,22.5664,17.8209,1000.06,27.8773,27.7716,100
82,4860.9,0.005450339,13.23850922,87.6327,27.73755747,2.78558257,8.800635094,0.389857198,2.399957586,0.357785769,0.226277327,237.7272456,27.72034249,27.5997,3.707179212,59.46507364,1.484683101,1500.01,1264.507863,87.6327,99.9771,22.1306,17.3339,1000.01,27.739,27.5997,100
83,4920.9,0.005463185,13.25636367,87.6615,27.48544314,2.760299123,8.803640544,0.388411831,2.403297745,0.356607747,0.225519898,237.7254415,27.63374228,27.523,3.690586176,59.0712218,1.493439567,1500,1264.499343,87.6615,100.023,21.8779,17.0687,1000.02,27.6564,27.523,100
84,4980.9,0.005441793,13.20113354,87.7058,27.41172915,2.752808371,8.807808481,0.385929686,2.397330602,0.354441824,0.224140719,237.7260104,27.61158717,27.5112,3.688039162,59.01443228,1.496696887,1500,1264.500432,87.7058,100.016,21.8208,17.0302,1000.03,27.6276,27.5112,100
85,5040.9,0.005434767,13.15245189,87.7426,27.06050168,2.717558648,8.811575787,0.381629165,2.40784743,0.350932168,0.221884482,237.726,27.63214081,27.5595,3.69847437,58.88319553,1.50966507,1500,1264.5,87.7426,100.008,21.7954,17.0111,1000.08,27.6459,27.5595,100
86,5100.9,0.005396311,13.16428428,87.7121,26.51926794,2.663189872,8.808462469,0.378612365,2.394171143,0.348220325,0.220164647,237.7244152,27.70110362,27.6327,3.714338335,59.09282862,1.510407541,1499.99,1264.49157,87.7121,99.9857,21.9461,17.1961,1000.02,27.7029,27.6327,100
87,5160.9,0.00539277,13.10994377,87.7548,26.49252427,2.660603679,8.813080299,0.376393759,2.404076844,0.346455002,0.219025467,237.7261096,27.78872737,27.7514,3.740189323,59.31377631,1.516813468,1500,1264.500045,87.7548,99.9793,22.1389,17.393,1000.03,27.7894,27.7514,100
88,5220.9,0.005369382,13.13534564,87.708,25.58499722,2.569194609,8.807463172,0.371450381,2.402961839,0.342247803,0.216336973,237.7261096,27.93052709,27.93,3.77938139,59.58839221,1.528109934,1500,1264.500045,87.708,99.9539,22.419,17.6948,999.98,27.9239,27.93,100
